PREDDEG,CONTROL,LOCALE,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,PPTUG_EF,INEXPFTE,AVGFACSAL,PCTPELL,PCTFLOAN,CDR2,PAR_ED_PCT_PS,GRAD_DEBT_MDN,MD_FAMINC,MD_EARN_WNE_P6,MD_EARN_WNE_P8,COST
1.0,3.0,22.0,658.0,0.5684,0.0547,0.1717,0.003,0.0228,0.003,0.0,3600.0,5533.0,0.4544,0.5725,0.137,0.4890978196,13097.0,26362.0,40867.0,43938.0,25304.0
2.0,1.0,43.0,1361.0,0.0066,0.0015,0.0015,0.0007,0.9831,0.0007,0.4842,8766.0,6350.0,0.4464,0.0,0.0,0.5681063123,10111.27073785852,14495.0,23014.0,25521.0,14048.0
3.0,1.0,13.0,23090.0,0.5574,0.0289,0.2634,0.0306,0.0292,0.0026,0.1334,6866.0,9187.0,0.3139,0.3349,0.082,0.6131374244,19000.0,41212.0,43866.0,47036.0,28648.0
1.0,1.0,41.0,1075.0,0.3516,0.0047,0.1405,0.013,0.3805,0.0009,0.7702,7789.0,6834.0,0.0915,0.0,0.0,0.5335628227,10941.934971359748,14950.0,27119.0,30186.0,15097.0
1.0,1.0,11.0,6588.0,0.2187,0.0953,0.5686,0.0269,0.0234,0.0005,0.687,7843.0,9601.0,0.3008,0.0824,0.139,0.3842447603,6750.0,20661.0,32157.0,35571.0,16957.0
1.0,1.0,11.0,13328.0,0.3349,0.0512,0.5082,0.0281,0.0181,0.0031,0.7518,5467.0,7982.0,0.1952,0.0501,0.149,0.5223920266,7000.0,20576.0,32461.0,34550.0,8742.0
2.0,3.0,11.0,2477.0,0.3242,0.0969,0.4029,0.0521,0.0226,0.0113,0.0,3606.0,6757.0,0.5126,0.6147,0.062,0.4946070878,9500.0,21596.0,34052.0,34540.0,18812.568910131282
1.0,3.0,11.0,690.0,0.1565,0.0246,0.5029,0.0203,0.1957,0.0058,0.0,6142.0,6520.0,0.6185,0.5722,0.147,0.5168539326,5500.0,19904.5,26778.0,28510.0,26586.0
3.0,2.0,13.0,313.0,0.6645,0.0383,0.0447,0.0383,0.0128,0.0032,0.2236,6185.0,4189.0,0.451,0.6701,0.043,0.7680412371,16300.0,26676.0,34529.0,33947.0,45439.0
1.0,3.0,11.0,990.0,0.3182,0.1323,0.3525,0.0131,0.1646,0.0111,0.0,2126.0,4667.0,0.5771,0.6457,0.088,0.4774346793,8233.0,21165.0,41982.0,48440.0,30788.0
